EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16435 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   CC, Q_CC
  1825, 16435,19601106,    5,    0
  1825, 16435,19601107,    5,    0
  1825, 16435,19601108,    4,    0
  1825, 16435,19601109,    7,    0
  1825, 16435,19601110,    7,    0
  1825, 16435,19601111,    7,    0
  1825, 16435,19601112,    5,    0
  1825, 16435,19601113,    5,    0
  1825, 16435,19601114,    4,    0
  1825, 16435,19601115,    2,    0
  1825, 16435,19601116,    4,    0
  1825, 16435,19601117,    5,    0
  1825, 16435,19601118,    5,    0
  1825, 16435,19601119,    7,    0
  1825, 16435,19601120,    7,    0
  1825, 16435,19601121,    8,    0
  1825, 16435,19601122,    6,    0
  1825, 16435,19601123,    6,    0
  1825, 16435,19601124,    4,    0
  1825, 16435,19601125,    4,    0
  1825, 16435,19601126,    5,    0
  1825, 16435,19601127,    2,    0
  1825, 16435,19601128,    2,    0
  1825, 16435,19601129,    5,    0
  1825, 16435,19601130,    7,    0
  1825, 16435,19601201,    5,    0
  1825, 16435,19601202,    4,    0
  1825, 16435,19601203,    4,    0
  1825, 16435,19601204,    4,    0
  1825, 16435,19601205,    4,    0
  1825, 16435,19601206,    6,    0
  1825, 16435,19601207,    4,    0
  1825, 16435,19601208,    6,    0
  1825, 16435,19601209,    7,    0
  1825, 16435,19601210,    6,    0
