EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 PP   : Sea level pressure in 0.1 hPa
30-34 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16432 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   PP, Q_PP
  1825, 16432,19610106,10016,    0
  1825, 16432,19610107,10097,    0
  1825, 16432,19610108, 9966,    0
  1825, 16432,19610109,10033,    0
  1825, 16432,19610110,10119,    0
  1825, 16432,19610111,10235,    0
  1825, 16432,19610112,10153,    0
  1825, 16432,19610113,10245,    0
  1825, 16432,19610114,10370,    0
  1825, 16432,19610115,10360,    0
  1825, 16432,19610116,10287,    0
  1825, 16432,19610117,10222,    0
  1825, 16432,19610118,10197,    0
  1825, 16432,19610119,10134,    0
  1825, 16432,19610120,10148,    0
  1825, 16432,19610121,10138,    0
  1825, 16432,19610122,10198,    0
  1825, 16432,19610123,10180,    0
  1825, 16432,19610124,10159,    0
  1825, 16432,19610125,10146,    0
  1825, 16432,19610126,10157,    0
  1825, 16432,19610127, 9955,    0
  1825, 16432,19610128, 9990,    0
  1825, 16432,19610129, 9806,    0
  1825, 16432,19610130, 9850,    0
  1825, 16432,19610131, 9874,    0
  1825, 16432,19610201, 9926,    0
  1825, 16432,19610202, 9947,    0
  1825, 16432,19610203,10071,    0
  1825, 16432,19610204,10032,    0
  1825, 16432,19610205,10022,    0
  1825, 16432,19610206, 9848,    0
  1825, 16432,19610207, 9965,    0
  1825, 16432,19610208,10031,    0
  1825, 16432,19610209,10082,    0
  1825, 16432,19610210,10111,    0
  1825, 16432,19610211,10033,    0
  1825, 16432,19610212,10087,    0
  1825, 16432,19610213,10074,    0
  1825, 16432,19610214,10100,    0
  1825, 16432,19610215,10205,    0
  1825, 16432,19610216,10258,    0
  1825, 16432,19610217,10229,    0
  1825, 16432,19610218,10229,    0
  1825, 16432,19610219,10265,    0
  1825, 16432,19610220,10264,    0
  1825, 16432,19610221,10298,    0
  1825, 16432,19610222,10273,    0
  1825, 16432,19610223,10256,    0
  1825, 16432,19610224,10152,    0
  1825, 16432,19610225,10058,    0
  1825, 16432,19610226, 9990,    0
  1825, 16432,19610227,10074,    0
  1825, 16432,19610228,10089,    0
  1825, 16432,19610301,10225,    0
  1825, 16432,19610302,10204,    0
  1825, 16432,19610303,10256,    0
  1825, 16432,19610304,10274,    0
  1825, 16432,19610305,10308,    0
  1825, 16432,19610306,10278,    0
  1825, 16432,19610307,10319,    0
  1825, 16432,19610308,10308,    0
  1825, 16432,19610309,10239,    0
  1825, 16432,19610310,10151,    0
  1825, 16432,19610311,10174,    0
  1825, 16432,19610312,10081,    0
  1825, 16432,19610313,10126,    0
  1825, 16432,19610314,10158,    0
  1825, 16432,19610315,10187,    0
  1825, 16432,19610316,10199,    0
  1825, 16432,19610317,10096,    0
  1825, 16432,19610318,10104,    0
  1825, 16432,19610319,10222,    0
  1825, 16432,19610320,10097,    0
  1825, 16432,19610321,10197,    0
  1825, 16432,19610322,10197,    0
  1825, 16432,19610323,10161,    0
  1825, 16432,19610324,10177,    0
  1825, 16432,19610325,10151,    0
  1825, 16432,19610326,10071,    0
  1825, 16432,19610327,10219,    0
  1825, 16432,19610328,10168,    0
  1825, 16432,19610329,10032,    0
  1825, 16432,19610330,10067,    0
  1825, 16432,19610331,10081,    0
  1825, 16432,19610401,10077,    0
  1825, 16432,19610402,10092,    0
  1825, 16432,19610403,10068,    0
  1825, 16432,19610404,10063,    0
  1825, 16432,19610405, 9927,    0
  1825, 16432,19610406,10007,    0
  1825, 16432,19610407,10145,    0
  1825, 16432,19610408,10220,    0
  1825, 16432,19610409,10195,    0
  1825, 16432,19610410,10111,    0
  1825, 16432,19610411,10085,    0
  1825, 16432,19610412,10043,    0
  1825, 16432,19610413, 9961,    0
  1825, 16432,19610414,10009,    0
  1825, 16432,19610415,10107,    0
  1825, 16432,19610416,10134,    0
  1825, 16432,19610417,10154,    0
  1825, 16432,19610418,10215,    0
  1825, 16432,19610419,10175,    0
  1825, 16432,19610420,10086,    0
  1825, 16432,19610421,10006,    0
  1825, 16432,19610422, 9984,    0
  1825, 16432,19610423, 9968,    0
  1825, 16432,19610424,10017,    0
  1825, 16432,19610425,10074,    0
  1825, 16432,19610426,10081,    0
  1825, 16432,19610427,10108,    0
  1825, 16432,19610428,10131,    0
  1825, 16432,19610429,10159,    0
  1825, 16432,19610430,10119,    0
  1825, 16432,19610501,10065,    0
  1825, 16432,19610502, 9944,    0
  1825, 16432,19610503, 9973,    0
  1825, 16432,19610504,10015,    0
  1825, 16432,19610505,10002,    0
  1825, 16432,19610506,10017,    0
  1825, 16432,19610507,10001,    0
  1825, 16432,19610508,10016,    0
  1825, 16432,19610509,10225,    0
  1825, 16432,19610510,10334,    0
  1825, 16432,19610511,10312,    0
  1825, 16432,19610512,10239,    0
  1825, 16432,19610513,10211,    0
  1825, 16432,19610514,10196,    0
  1825, 16432,19610515,10254,    0
  1825, 16432,19610516,10283,    0
  1825, 16432,19610517,10304,    0
  1825, 16432,19610518,10307,    0
  1825, 16432,19610519,10239,    0
  1825, 16432,19610520,10224,    0
  1825, 16432,19610521,10238,    0
  1825, 16432,19610522,10213,    0
  1825, 16432,19610523,10156,    0
  1825, 16432,19610524,10131,    0
  1825, 16432,19610525,10193,    0
  1825, 16432,19610526,10241,    0
  1825, 16432,19610527,10229,    0
  1825, 16432,19610528,10181,    0
  1825, 16432,19610529,10102,    0
  1825, 16432,19610530,10137,    0
  1825, 16432,19610531,10120,    0
  1825, 16432,19610601,10089,    0
  1825, 16432,19610602,10103,    0
  1825, 16432,19610603,10119,    0
  1825, 16432,19610604,10181,    0
  1825, 16432,19610605,10157,    0
  1825, 16432,19610606,10136,    0
  1825, 16432,19610607,10106,    0
  1825, 16432,19610608,10061,    0
  1825, 16432,19610609,10069,    0
  1825, 16432,19610610,10134,    0
  1825, 16432,19610611,10148,    0
  1825, 16432,19610612,10144,    0
  1825, 16432,19610613,10156,    0
  1825, 16432,19610614,10181,    0
  1825, 16432,19610615,10133,    0
  1825, 16432,19610616,10113,    0
  1825, 16432,19610617,10047,    0
  1825, 16432,19610618,10059,    0
  1825, 16432,19610619,10187,    0
  1825, 16432,19610620,10226,    0
  1825, 16432,19610621,10189,    0
  1825, 16432,19610622,10113,    0
  1825, 16432,19610623,10109,    0
  1825, 16432,19610624,10083,    0
  1825, 16432,19610625,10058,    0
  1825, 16432,19610626,10073,    0
  1825, 16432,19610627,10130,    0
  1825, 16432,19610628,10178,    0
  1825, 16432,19610629,10205,    0
  1825, 16432,19610630,10187,    0
  1825, 16432,19610701,10182,    0
  1825, 16432,19610702,10249,    0
  1825, 16432,19610703,10166,    0
  1825, 16432,19610704,10169,    0
  1825, 16432,19610705,10207,    0
  1825, 16432,19610706,10209,    0
  1825, 16432,19610707,10160,    0
  1825, 16432,19610708,10105,    0
  1825, 16432,19610709,10126,    0
  1825, 16432,19610710,10110,    0
  1825, 16432,19610711,10080,    0
  1825, 16432,19610712,10026,    0
  1825, 16432,19610713, 9893,    0
  1825, 16432,19610714, 9958,    0
  1825, 16432,19610715, 9995,    0
  1825, 16432,19610716,10059,    0
  1825, 16432,19610717,10115,    0
  1825, 16432,19610718,10153,    0
  1825, 16432,19610719,10153,    0
  1825, 16432,19610720,10168,    0
  1825, 16432,19610721,10219,    0
  1825, 16432,19610722,10222,    0
  1825, 16432,19610723,10232,    0
  1825, 16432,19610724,10232,    0
  1825, 16432,19610725,10137,    0
  1825, 16432,19610726, 9983,    0
  1825, 16432,19610727,10009,    0
  1825, 16432,19610728,10071,    0
  1825, 16432,19610729,10174,    0
  1825, 16432,19610730,10182,    0
  1825, 16432,19610731,10192,    0
  1825, 16432,19610801,10189,    0
