EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : Sunshine in 0.1 Hours
30-34 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16434 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   SS, Q_SS
  1825, 16434,19601005,   10,    0
  1825, 16434,19601006,    0,    0
  1825, 16434,19601007,    7,    0
  1825, 16434,19601008,   59,    0
  1825, 16434,19601009,    1,    0
  1825, 16434,19601010,    2,    0
  1825, 16434,19601011,   50,    0
  1825, 16434,19601012,   53,    0
  1825, 16434,19601013,    4,    0
  1825, 16434,19601014,    7,    0
  1825, 16434,19601015,    0,    0
  1825, 16434,19601016,   29,    0
  1825, 16434,19601017,   70,    0
  1825, 16434,19601018,    0,    0
  1825, 16434,19601019,    0,    0
  1825, 16434,19601020,    0,    0
  1825, 16434,19601021,    0,    0
  1825, 16434,19601022,    0,    0
  1825, 16434,19601023,    0,    0
  1825, 16434,19601024,    0,    0
  1825, 16434,19601025,    0,    0
  1825, 16434,19601026,    0,    0
  1825, 16434,19601027,    0,    0
  1825, 16434,19601028,    0,    0
  1825, 16434,19601029,    2,    0
  1825, 16434,19601030,    0,    0
  1825, 16434,19601031,    0,    0
  1825, 16434,19601101,    0,    0
  1825, 16434,19601102,    0,    0
  1825, 16434,19601103,   43,    0
  1825, 16434,19601104,   37,    0
  1825, 16434,19601105,   46,    0
  1825, 16434,19601106,    3,    0
  1825, 16434,19601107,   21,    0
  1825, 16434,19601108,   43,    0
  1825, 16434,19601109,   24,    0
  1825, 16434,19601110,    0,    0
  1825, 16434,19601111,   13,    0
  1825, 16434,19601112,    0,    0
  1825, 16434,19601113,   48,    0
  1825, 16434,19601114,   48,    0
  1825, 16434,19601115,   48,    0
  1825, 16434,19601116,   34,    0
  1825, 16434,19601117,    2,    0
  1825, 16434,19601118,    0,    0
  1825, 16434,19601119,   12,    0
  1825, 16434,19601120,    0,    0
  1825, 16434,19601121,    1,    0
  1825, 16434,19601122,    0,    0
  1825, 16434,19601123,    6,    0
  1825, 16434,19601124,    0,    0
  1825, 16434,19601125,   57,    0
  1825, 16434,19601126,    3,    0
  1825, 16434,19601127,   61,    0
  1825, 16434,19601128,   60,    0
  1825, 16434,19601129,    0,    0
  1825, 16434,19601130,    0,    0
  1825, 16434,19601201,   26,    0
  1825, 16434,19601202,   59,    0
  1825, 16434,19601203,   22,    0
  1825, 16434,19601204,   28,    0
  1825, 16434,19601205,   18,    0
  1825, 16434,19601206,   55,    0
  1825, 16434,19601207,    0,    0
  1825, 16434,19601208,    0,    0
  1825, 16434,19601209,    0,    0
  1825, 16434,19601210,    0,    0
  1825, 16434,19601211,   10,    0
  1825, 16434,19601212,   41,    0
  1825, 16434,19601213,    0,    0
  1825, 16434,19601214,   20,    0
  1825, 16434,19601215,   17,    0
  1825, 16434,19601216,    0,    0
  1825, 16434,19601217,   17,    0
  1825, 16434,19601218,    8,    0
  1825, 16434,19601219,   20,    0
  1825, 16434,19601220,   39,    0
  1825, 16434,19601221,   40,    0
  1825, 16434,19601222,    0,    0
  1825, 16434,19601223,    0,    0
  1825, 16434,19601224,    0,    0
  1825, 16434,19601225,    0,    0
  1825, 16434,19601226,   20,    0
  1825, 16434,19601227,   18,    0
  1825, 16434,19601228,    0,    0
  1825, 16434,19601229,   45,    0
  1825, 16434,19601230,   45,    0
  1825, 16434,19601231,    4,    0
  1825, 16434,19610101,   21,    0
  1825, 16434,19610102,    0,    0
  1825, 16434,19610103,    0,    0
  1825, 16434,19610104,   29,    0
  1825, 16434,19610105,    0,    0
  1825, 16434,19610106,   27,    0
  1825, 16434,19610107,   16,    0
  1825, 16434,19610108,    0,    0
  1825, 16434,19610109,   27,    0
  1825, 16434,19610110,   30,    0
  1825, 16434,19610111,   28,    0
  1825, 16434,19610112,    1,    0
  1825, 16434,19610113,   24,    0
  1825, 16434,19610114,   40,    0
  1825, 16434,19610115,   57,    0
  1825, 16434,19610116,    0,    0
  1825, 16434,19610117,    0,    0
  1825, 16434,19610118,    0,    0
  1825, 16434,19610119,    0,    0
  1825, 16434,19610120,    0,    0
  1825, 16434,19610121,   16,    0
  1825, 16434,19610122,   35,    0
  1825, 16434,19610123,    3,    0
  1825, 16434,19610124,    0,    0
  1825, 16434,19610125,    4,    0
  1825, 16434,19610126,    3,    0
  1825, 16434,19610127,   21,    0
  1825, 16434,19610128,    0,    0
  1825, 16434,19610129,   20,    0
  1825, 16434,19610130,   40,    0
  1825, 16434,19610131,   48,    0
  1825, 16434,19610201,   53,    0
  1825, 16434,19610202,   42,    0
  1825, 16434,19610203,   55,    0
  1825, 16434,19610204,    7,    0
  1825, 16434,19610205,    0,    0
  1825, 16434,19610206,   14,    0
  1825, 16434,19610207,   72,    0
  1825, 16434,19610208,    1,    0
  1825, 16434,19610209,   22,    0
  1825, 16434,19610210,   55,    0
  1825, 16434,19610211,   22,    0
  1825, 16434,19610212,    0,    0
  1825, 16434,19610213,    3,    0
  1825, 16434,19610214,    1,    0
  1825, 16434,19610215,   65,    0
  1825, 16434,19610216,   36,    0
  1825, 16434,19610217,    0,    0
  1825, 16434,19610218,   37,    0
  1825, 16434,19610219,    9,    0
  1825, 16434,19610220,   85,    0
  1825, 16434,19610221,   62,    0
  1825, 16434,19610222,    0,    0
  1825, 16434,19610223,    0,    0
  1825, 16434,19610224,    0,    0
  1825, 16434,19610225,   39,    0
  1825, 16434,19610226,   18,    0
  1825, 16434,19610227,   95,    0
  1825, 16434,19610228,   80,    0
  1825, 16434,19610301,    3,    0
  1825, 16434,19610302,   63,    0
  1825, 16434,19610303,   10,    0
  1825, 16434,19610304,   30,    0
  1825, 16434,19610305,   88,    0
  1825, 16434,19610306,   28,    0
  1825, 16434,19610307,   76,    0
  1825, 16434,19610308,   68,    0
  1825, 16434,19610309,   88,    0
  1825, 16434,19610310,   26,    0
  1825, 16434,19610311,    0,    0
  1825, 16434,19610312,   32,    0
  1825, 16434,19610313,   54,    0
  1825, 16434,19610314,   45,    0
  1825, 16434,19610315,   55,    0
  1825, 16434,19610316,   30,    0
  1825, 16434,19610317,   17,    0
  1825, 16434,19610318,   51,    0
  1825, 16434,19610319,   64,    0
  1825, 16434,19610320,   64,    0
  1825, 16434,19610321,   54,    0
  1825, 16434,19610322,   36,    0
  1825, 16434,19610323,   54,    0
  1825, 16434,19610324,   61,    0
  1825, 16434,19610325,   12,    0
  1825, 16434,19610326,   77,    0
  1825, 16434,19610327,   90,    0
  1825, 16434,19610328,    3,    0
  1825, 16434,19610329,   30,    0
  1825, 16434,19610330,   11,    0
  1825, 16434,19610331,   74,    0
  1825, 16434,19610401,   31,    0
  1825, 16434,19610402,   75,    0
  1825, 16434,19610403,  107,    0
  1825, 16434,19610404,    0,    0
  1825, 16434,19610405,    5,    0
  1825, 16434,19610406,    0,    0
  1825, 16434,19610407,   86,    0
  1825, 16434,19610408,   55,    0
  1825, 16434,19610409,    0,    0
  1825, 16434,19610410,    0,    0
  1825, 16434,19610411,   43,    0
  1825, 16434,19610412,   15,    0
  1825, 16434,19610413,   53,    0
  1825, 16434,19610414,   71,    0
  1825, 16434,19610415,   55,    0
  1825, 16434,19610416,   52,    0
  1825, 16434,19610417,    2,    0
  1825, 16434,19610418,   82,    0
  1825, 16434,19610419,    0,    0
  1825, 16434,19610420,    0,    0
  1825, 16434,19610421,   71,    0
  1825, 16434,19610422,   44,    0
  1825, 16434,19610423,    0,    0
  1825, 16434,19610424,  108,    0
  1825, 16434,19610425,   67,    0
  1825, 16434,19610426,    0,    0
  1825, 16434,19610427,   57,    0
  1825, 16434,19610428,   25,    0
  1825, 16434,19610429,    0,    0
  1825, 16434,19610430,    2,    0
  1825, 16434,19610501,   41,    0
  1825, 16434,19610502,  109,    0
  1825, 16434,19610503,   91,    0
  1825, 16434,19610504,   39,    0
  1825, 16434,19610505,   55,    0
  1825, 16434,19610506,   42,    0
  1825, 16434,19610507,   88,    0
  1825, 16434,19610508,   37,    0
  1825, 16434,19610509,  108,    0
  1825, 16434,19610510,   98,    0
  1825, 16434,19610511,   71,    0
  1825, 16434,19610512,   21,    0
  1825, 16434,19610513,    7,    0
  1825, 16434,19610514,    0,    0
  1825, 16434,19610515,   71,    0
  1825, 16434,19610516,    3,    0
  1825, 16434,19610517,    0,    0
  1825, 16434,19610518,    2,    0
  1825, 16434,19610519,   34,    0
  1825, 16434,19610520,   34,    0
  1825, 16434,19610521,   48,    0
  1825, 16434,19610522,   14,    0
  1825, 16434,19610523,   21,    0
  1825, 16434,19610524,   82,    0
  1825, 16434,19610525,   59,    0
  1825, 16434,19610526,   98,    0
  1825, 16434,19610527,   54,    0
  1825, 16434,19610528,  114,    0
  1825, 16434,19610529,   49,    0
  1825, 16434,19610530,   68,    0
  1825, 16434,19610531,   54,    0
  1825, 16434,19610601,   59,    0
  1825, 16434,19610602,   42,    0
  1825, 16434,19610603,   50,    0
  1825, 16434,19610604,   98,    0
  1825, 16434,19610605,   20,    0
  1825, 16434,19610606,    0,    0
  1825, 16434,19610607,   17,    0
  1825, 16434,19610608,   26,    0
  1825, 16434,19610609,   31,    0
  1825, 16434,19610610,    5,    0
  1825, 16434,19610611,   15,    0
  1825, 16434,19610612,   37,    0
  1825, 16434,19610613,  122,    0
  1825, 16434,19610614,  114,    0
  1825, 16434,19610615,   43,    0
  1825, 16434,19610616,   11,    0
  1825, 16434,19610617,   29,    0
  1825, 16434,19610618,  131,    0
  1825, 16434,19610619,  134,    0
  1825, 16434,19610620,   48,    0
  1825, 16434,19610621,   27,    0
  1825, 16434,19610622,   90,    0
  1825, 16434,19610623,   38,    0
  1825, 16434,19610624,   15,    0
  1825, 16434,19610625,   18,    0
  1825, 16434,19610626,   37,    0
  1825, 16434,19610627,   58,    0
  1825, 16434,19610628,  101,    0
  1825, 16434,19610629,  158,    0
  1825, 16434,19610630,   19,    0
  1825, 16434,19610701,   32,    0
  1825, 16434,19610702,   45,    0
  1825, 16434,19610703,   19,    0
  1825, 16434,19610704,   61,    0
  1825, 16434,19610705,   70,    0
  1825, 16434,19610706,   58,    0
  1825, 16434,19610707,   16,    0
  1825, 16434,19610708,   63,    0
  1825, 16434,19610709,   64,    0
  1825, 16434,19610710,   12,    0
  1825, 16434,19610711,   29,    0
  1825, 16434,19610712,    0,    0
  1825, 16434,19610713,   26,    0
  1825, 16434,19610714,   86,    0
  1825, 16434,19610715,    0,    0
  1825, 16434,19610716,   40,    0
  1825, 16434,19610717,    3,    0
  1825, 16434,19610718,    1,    0
  1825, 16434,19610719,   26,    0
  1825, 16434,19610720,    0,    0
  1825, 16434,19610721,    0,    0
  1825, 16434,19610722,   13,    0
  1825, 16434,19610723,    1,    0
  1825, 16434,19610724,   13,    0
  1825, 16434,19610725,   18,    0
  1825, 16434,19610726,   23,    0
  1825, 16434,19610727,   67,    0
  1825, 16434,19610728,   14,    0
  1825, 16434,19610729,   40,    0
  1825, 16434,19610730,    7,    0
  1825, 16434,19610731,   35,    0
  1825, 16434,19610801,   56,    0
  1825, 16434,19610802,   71,    0
  1825, 16434,19610803,   44,    0
  1825, 16434,19610804,   87,    0
  1825, 16434,19610805,   55,    0
  1825, 16434,19610806,   20,    0
  1825, 16434,19610807,   73,    0
  1825, 16434,19610808,    0,    0
  1825, 16434,19610809,   13,    0
  1825, 16434,19610810,   16,    0
  1825, 16434,19610811,   39,    0
  1825, 16434,19610812,   88,    0
  1825, 16434,19610813,   30,    0
  1825, 16434,19610814,   52,    0
  1825, 16434,19610815,   55,    0
  1825, 16434,19610816,   57,    0
  1825, 16434,19610817,    2,    0
  1825, 16434,19610818,   46,    0
  1825, 16434,19610819,   12,    0
  1825, 16434,19610820,    3,    0
  1825, 16434,19610821,   14,    0
  1825, 16434,19610822,   69,    0
  1825, 16434,19610823,   23,    0
  1825, 16434,19610824,   97,    0
  1825, 16434,19610825,   16,    0
  1825, 16434,19610826,   97,    0
  1825, 16434,19610827,   38,    0
  1825, 16434,19610828,   75,    0
  1825, 16434,19610829,   70,    0
  1825, 16434,19610830,  116,    0
  1825, 16434,19610831,  115,    0
  1825, 16434,19610901,   72,    0
  1825, 16434,19610902,    0,    0
  1825, 16434,19610903,    9,    0
  1825, 16434,19610904,    2,    0
  1825, 16434,19610905,   18,    0
  1825, 16434,19610906,   43,    0
  1825, 16434,19610907,   19,    0
  1825, 16434,19610908,    0,    0
  1825, 16434,19610909,   88,    0
  1825, 16434,19610910,   23,    0
  1825, 16434,19610911,   67,    0
  1825, 16434,19610912,    4,    0
  1825, 16434,19610913,   58,    0
  1825, 16434,19610914,   95,    0
  1825, 16434,19610915,   41,    0
  1825, 16434,19610916,   39,    0
  1825, 16434,19610917,  110,    0
  1825, 16434,19610918,  109,    0
  1825, 16434,19610919,    0,    0
  1825, 16434,19610920,   45,    0
  1825, 16434,19610921,   59,    0
  1825, 16434,19610922,   95,    0
  1825, 16434,19610923,   43,    0
  1825, 16434,19610924,   79,    0
  1825, 16434,19610925,   28,    0
  1825, 16434,19610926,    1,    0
  1825, 16434,19610927,   84,    0
  1825, 16434,19610928,    0,    0
  1825, 16434,19610929,   53,    0
  1825, 16434,19610930,    0,    0
  1825, 16434,19611001,   57,    0
  1825, 16434,19611002,   50,    0
  1825, 16434,19611003,   10,    0
  1825, 16434,19611004,    0,    0
  1825, 16434,19611005,   12,    0
  1825, 16434,19611006,    2,    0
  1825, 16434,19611007,    0,    0
  1825, 16434,19611008,   32,    0
  1825, 16434,19611009,   16,    0
  1825, 16434,19611010,   63,    0
  1825, 16434,19611011,   87,    0
  1825, 16434,19611012,   58,    0
  1825, 16434,19611013,   91,    0
  1825, 16434,19611014,   70,    0
  1825, 16434,19611015,   54,    0
  1825, 16434,19611016,   47,    0
  1825, 16434,19611017,   56,    0
  1825, 16434,19611018,   51,    0
  1825, 16434,19611019,   37,    0
  1825, 16434,19611020,    0,    0
  1825, 16434,19611021,    9,    0
  1825, 16434,19611022,   11,    0
  1825, 16434,19611023,   30,    0
  1825, 16434,19611024,   33,    0
  1825, 16434,19611025,   20,    0
  1825, 16434,19611026,   16,    0
  1825, 16434,19611027,   47,    0
  1825, 16434,19611028,   18,    0
  1825, 16434,19611029,   22,    0
  1825, 16434,19611030,   12,    0
  1825, 16434,19611031,    0,    0
  1825, 16434,19611101,    0,    0
  1825, 16434,19611102,   56,    0
  1825, 16434,19611103,   22,    0
  1825, 16434,19611104,   23,    0
  1825, 16434,19611105,    1,    0
  1825, 16434,19611106,    2,    0
  1825, 16434,19611107,    2,    0
  1825, 16434,19611108,   64,    0
  1825, 16434,19611109,   62,    0
  1825, 16434,19611110,   75,    0
  1825, 16434,19611111,   77,    0
  1825, 16434,19611112,    0,    0
  1825, 16434,19611113,   25,    0
